lib32-libxcb 1.17.0-1
lib32-libxcomposite 0.4.6-2
lib32-libxcrypt 4.4.38-1
lib32-libxcrypt-compat 4.4.38-1
lib32-libxcursor 1.2.3-1
lib32-libxdamage 1.1.6-2
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxft 2.3.8-2
lib32-libxi 1.8.2-1
lib32-libxinerama 1.1.5-2
lib32-libxkbcommon 1.10.0-1
lib32-libxml2 2.14.3-1
lib32-libxmu 1.2.1-1
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxt 1.3.1-1
lib32-libxtst 1.2.5-2
lib32-libxv 1.0.12-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:19.1.7-2
lib32-lm_sensors 1:3.6.2-2
lib32-lzo 2.10-2
lib32-mangohud 0.8.1-1
lib32-mesa 1:25.1.2-2
lib32-mpg123 1.32.10-1
lib32-ncurses 6.5-2
lib32-nettle 3.10.1-1
lib32-nspr 4.36-1
lib32-nss 3.112-1
lib32-nvidia-utils 575.57.08-2
lib32-ocl-icd 2.3.3-1
lib32-openal 1.24.3-1
lib32-opencl-nvidia 575.57.08-2
lib32-openssl 1:3.5.0-1
lib32-openssl-1.1 1.1.1.w-2
lib32-opus 1.5.2-1
lib32-orc 0.4.41-1
lib32-p11-kit 0.25.5-1
lib32-pam 1.7.0-1
lib32-pango 1:1.56.3-1
lib32-pcre2 10.45-1
lib32-pipewire 1:1.4.5-1
lib32-pixman 0.44.2-1
lib32-sdl12-compat 1.2.68-2
lib32-sdl2-compat 2.32.56-1
lib32-sdl2_image 2.8.4-1
lib32-sdl2_mixer 2.8.0-1
lib32-sdl2_ttf 2.24.0-1
lib32-sdl3 3.2.16-1
lib32-sdl_image 1.2.12-9
lib32-sdl_mixer 1.2.12-6
lib32-sdl_ttf 2.0.11-9
lib32-speex 1.2.1-2
lib32-spirv-tools 1:1.4.313.0-1
lib32-sqlite 3.49.2-1
lib32-systemd 257.6-1
lib32-tdb 1.4.12-1
lib32-util-linux 2.41-1
lib32-vulkan-icd-loader 1.4.313.0-1
lib32-vulkan-radeon 1:25.1.2-2
lib32-wayland 1.23.1-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.1-1
lib32-zlib-ng 2.2.4-1
lib32-zlib-ng-compat 2.2.4-1
lib32-zstd 1.5.7-2
libaccounts-glib 1.27-3.1
libaccounts-qt 1.17-1.1
libadwaita 1:1.7.4-1.1
libaec 1.1.3-2.1
libaemu 0.1.2-5.1
libaio 0.3.113-3.1
libao 1.2.2-6
libarchive 3.8.1-1.1
libass 0.17.3-1.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.1
libatasmart 0.19-6.1
libavc1394 0.5.4-6.1
libavif 1.3.0-1.1
libavtp 0.2.0-3.1
libb2 0.98.1-3.1
libblockdev 3.3.0-1.1
libblockdev-crypto 3.3.0-1.1
libblockdev-fs 3.3.0-1.1
libblockdev-loop 3.3.0-1.1
libblockdev-mdraid 3.3.0-1.1
libblockdev-nvme 3.3.0-1.1
libblockdev-part 3.3.0-1.1
libblockdev-swap 3.3.0-1.1
libbluray 1.3.4-3.1
libbpf 1.5.0-1.1
libbs2b 3.1.0-9.1
libbsd 0.12.2-2.1
libbytesize 2.11-1.1
libcaca 0.99.beta20-5.1
libcacard 2.8.1-1.1
libcanberra 1:0.30+r2+gc0620e4-4.1
libcap 2.76-1.1
libcap-ng 0.8.5-3.1
libcbor 0.11.0-1.1
libcdio 2.2.0-1.1
libcdio-paranoia 10.2+2.0.2-1.2
libcloudproviders 0.3.6-1.1
libcolord 1.4.7-2
libcue 2.3.0-1.1
libcups 2:2.4.12-2
libcupsfilters 2.1.1-2.2
libcurl-compat 8.14.1-1
libcurl-gnutls 8.14.1-1
libdaemon 0.14-6.1
libdatachannel 0.22.6-1.1
libdatrie 0.2.13-4.1
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk2 16.04.0.r498-2
libdc1394 2.2.7-1.1
libdca 0.0.7-2.1
libde265 1.0.16-1.1
libdecor 0.2.3-1.1
libdeflate 1.23-1.1
libdisplay-info 0.2.0-2.1
libdmapsharing 3.9.13-1.1
libdovi 3.3.1-1.1
libdrm 2.4.124-1.1
libdv 1.0.0-11.1
libdvdcss 1.4.3-2.1
